OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,B27010_004E,B27010_004M,B27010_020E,B27010_020M,B27010_036E,B27010_036M,B27010_053E,B27010_053M,B27010_005E,B27010_005M,B27010_021E,B27010_021M,B27010_037E,B27010_037M,B27010_054E,B27010_054M,B27010_006E,B27010_006M,B27010_022E,B27010_022M,B27010_038E,B27010_038M,B27010_055E,B27010_055M,B27010_007E,B27010_007M,B27010_023E,B27010_023M,B27010_039E,B27010_039M,MEDICAID65_CALC,B27010_008E,B27010_008M,B27010_024E,B27010_024M,B27010_040E,B27010_040M,B27010_056E,B27010_056M,B27010_009E,B27010_009M,B27010_025E,B27010_025M,B27010_041E,B27010_041M,B27010_057E,B27010_057M,B27010_010E,B27010_010M,B27010_026E,B27010_026M,B27010_042E,B27010_042M,B27010_058E,B27010_058M,B27010_017E,B27010_017M,B27010_033E,B27010_033M,B27010_050E,B27010_050M,B27010_066E,B27010_066M,DP03_0095E,DP03_0095M,DP03_0096E,DP03_0096M,DP03_0097E,DP03_0097M,DP03_0098E,DP03_0098M,DP03_0099E,DP03_0099M,DP03_0100E,DP03_0100M,DP03_0101E,DP03_0101M,DP03_0099PE,DP03_0099PM
2523,0500000US48001,Anderson County,Texas,48001,5130,624,4428,465,9727,644,123,64,269,118,257,106,1018,270,33,52,48,59,0,31,835,302,2236,301,5096,655,624,243,684,205,,17,23,81,64,182,111,0,31,0,31,65,48,189,147,30,27,321,180,366,168,1354,266,5003,338,904,252,2339,421,2989,534,5,8,44353,453,38116,869,27169,1160,16504,795,6237,771,11785,181,904,252,14.1,1.7
2524,0500000US48003,Andrews County,Texas,48003,2783,452,2249,275,3954,308,86,62,185,96,270,130,262,114,0,21,0,21,0,21,64,62,624,146,1747,444,232,147,138,76,,0,21,0,21,0,21,0,21,0,21,0,21,37,44,4,7,122,70,225,105,477,201,1037,126,1076,411,999,230,1154,295,0,21,17725,40,14496,618,11313,804,4332,530,3229,618,5913,173,1076,411,18.2,3.5
2525,0500000US48005,Angelina County,Texas,48005,8145,695,7838,516,14860,849,94,65,1160,237,873,220,2838,378,60,52,22,24,43,57,1025,243,3707,363,10410,789,1464,266,2287,445,,87,80,50,67,69,48,0,31,0,31,194,148,201,128,0,31,859,276,1071,325,2991,427,8679,395,3161,589,5908,555,7203,657,158,93,85457,256,69027,1197,46576,1519,31836,1111,16430,1184,23844,167,3161,589,19.2,1.4
2526,0500000US48007,Aransas County,Texas,48007,1504,631,1093,299,3890,459,83,62,253,158,285,171,1311,319,4,7,0,25,52,70,359,185,1757,370,2320,649,269,160,263,148,,57,91,1,4,146,85,0,25,0,25,0,25,94,71,0,25,49,59,142,92,903,264,4550,416,855,416,1687,308,2461,428,0,25,24388,169,19385,854,13508,1197,10606,842,5003,811,5038,206,855,416,20.5,3.4
2527,0500000US48009,Archer County,Texas,48009,1256,134,803,107,2069,157,31,23,112,38,185,92,332,99,15,18,0,19,2,3,106,47,399,88,467,143,75,46,100,53,,26,25,1,4,80,40,0,19,0,19,0,19,1,4,0,19,38,25,88,43,327,99,1214,109,116,55,301,86,574,131,5,9,8723,59,7727,202,6429,313,2718,192,996,189,2015,40,116,55,11.4,2.2
2528,0500000US48011,Armstrong County,Texas,48011,254,64,182,37,476,79,5,4,23,20,31,31,102,37,0,13,0,13,0,13,32,33,144,39,99,60,2,5,6,9,,7,9,0,13,0,13,0,13,9,13,0,13,9,14,0,13,17,17,18,15,86,38,210,41,0,13,49,28,92,47,0,13,1853,133,1712,115,1378,124,585,93,141,53,409,60,0,13,7.6,2.6
2529,0500000US48013,Atascosa County,Texas,48013,6131,764,4714,578,8975,549,74,60,727,290,523,260,1342,317,23,37,14,24,12,20,310,121,1938,262,4848,677,970,364,1168,297,,418,212,215,161,447,209,0,28,0,28,11,21,220,164,0,28,829,273,530,182,1812,356,4481,279,1234,473,3007,562,3319,534,105,88,48397,156,40732,1015,30168,1356,15883,1134,7665,1010,14201,171,1234,473,15.8,2.1
2530,0500000US48015,Austin County,Texas,48015,4138,419,2934,322,6789,489,147,87,570,215,480,196,1259,262,0,25,7,11,5,8,201,101,1653,230,2101,356,345,168,264,116,,0,25,11,12,130,80,6,8,0,25,31,49,100,143,0,25,203,91,188,92,799,185,3388,265,415,167,1248,284,1850,349,36,35,29298,127,25749,520,20393,763,8863,549,3549,517,7434,119,415,167,12.1,1.8
2531,0500000US48017,Bailey County,Texas,48017,543,285,516,203,1389,219,0,19,145,136,54,67,165,116,0,19,0,19,0,19,0,19,258,113,1085,340,202,129,58,94,,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,62,64,99,80,209,147,689,155,202,186,630,232,589,249,0,19,6895,80,5474,442,3638,592,2624,424,1421,427,2037,161,202,186,20.6,6.2
2532,0500000US48019,Bandera County,Texas,48019,1438,272,1166,284,4022,466,26,23,332,166,297,148,1042,231,44,59,0,25,0,25,245,146,1178,228,1094,269,132,126,198,96,,101,92,28,48,254,119,15,26,0,25,51,63,214,159,0,25,476,239,316,187,840,257,4260,274,508,211,1037,276,2266,421,4,6,21584,122,17769,572,13852,775,8464,520,3815,573,3949,169,508,211,17.7,2.6
